
# This file holds the information azure chef extension packages that were published as "public" over public namespace.
# Public Namespace is "Chef.Bootstrap.WindowsAzure" and extension names per platform are available in Publish.json file.


# Format
# [date-yyyymmdd,platform,chef-client-version,chef-extension-version,git-branch,git-revision]

  [20180823, windows, 1210.12.110.1002, master, bcd77ad3c72144794d16723760c8084eec10287b]
  [20190205, ubuntu, 1210.13.1.0, master, 8bfee54c3834c7eb961734948c0063d27db56dae]
  [20190205, windows, 1210.13.1.0, master, 8bfee54c3834c7eb961734948c0063d27db56dae]
  [20190823, ubuntu, 1210.13.1.1, master, ff3c533d1324cda15a973179c4b96aadfc2514c4]
  [20190823, windows, 1210.13.1.1, master, ff3c533d1324cda15a973179c4b96aadfc2514c4]
  [20190823, ubuntu, 1210.13.2.1, master, 97bcea3d2d831c594bde5e84b0e31661dd81c8d7]
  [20190823, windows, 1210.13.2.1, master, 97bcea3d2d831c594bde5e84b0e31661dd81c8d7]
  [20191126, ubuntu, 1210.13.2.2, master, ef461583f775a90acbf6a7a94406cc260bb8d969]
  [20191126, windows, 1210.13.2.2, master, ef461583f775a90acbf6a7a94406cc260bb8d969]
  [20200213, ubuntu, 1210.13.2.3, master, 1391563ab93f38408cbd858275f1a9d1616540a6]
  [20200213, windows, 1210.13.2.3, master, 1391563ab93f38408cbd858275f1a9d1616540a6]
  [20200602, ubuntu, 1210.13.3.1, master, 67ab386f6ad589c6908690a5164720cd7108dd8d]
  [20200601, windows, 1210.13.3.1, master, 67ab386f6ad589c6908690a5164720cd7108dd8d]
  [20200702, ubuntu, 1210.13.3.2, master, 7b8a41dd76ea2abd9a5ba498154b9b3e1bb12778]
  [20200702, windows, 1210.13.3.2, master, 7b8a41dd76ea2abd9a5ba498154b9b3e1bb12778]
  [20200730, ubuntu, 1210.13.3.3, master, 0d9dafdd09b074712dba0574f6173b84d47a2ab4]
  [20200730, windows, 1210.13.3.3, master, 0d9dafdd09b074712dba0574f6173b84d47a2ab4]
  [20200819, ubuntu, 1210.13.4.1, master, 0d569765b5d88668838b926ebdd63eaedc785af7]
  [20200819, windows, 1210.13.4.1, master, 0d569765b5d88668838b926ebdd63eaedc785af7]
  [20210202, ubuntu, 1210.13.4.2, master, 967bcbca4deec97a21f56cd16ef93bfe18365187]
  [20210128, windows, 1210.13.4.2, master, 967bcbca4deec97a21f56cd16ef93bfe18365187]
  [20210315, ubuntu, 1210.13.4.3, master, 4e91682492c6725f0b57bd789f0ae24762e81d61]
  [20210316, windows, 1210.13.4.3, master, 4e91682492c6725f0b57bd789f0ae24762e81d61]
  [20210401, ubuntu, 1210.13.5.1, master, b51a76d451fa92f5b8e24c9daa8f86413772965e]
  [20210401, windows, 1210.13.5.1, master, b51a76d451fa92f5b8e24c9daa8f86413772965e]
  [20210517, ubuntu, 1210.13.5.2, master, 63b83b1358cc59be343098a8e743853ff9d3afca]
  [20210517, windows, 1210.13.5.2, master, 63b83b1358cc59be343098a8e743853ff9d3afca]
  [20210831, ubuntu, 1210.14.1.0, master, a2fa18557a65e7a17e1c5d1057f09c42d6d1f29c]
  [20210901, windows, 1210.14.1.0, master, a2fa18557a65e7a17e1c5d1057f09c42d6d1f29c]
  [20211014, ubuntu, 1210.14.1.1, master, 09a0fd63a78e2febaebd823b0abd389dcee7e7c3]
  [20211014, windows, 1210.14.1.1, master, 09a0fd63a78e2febaebd823b0abd389dcee7e7c3]
  [20220624, windows, 1210.14.1.2, main, a5e57f5c880ceaf6ccd757193b2b555944f3cb81]
  [20220624, ubuntu, 1210.14.1.2, main, a5e57f5c880ceaf6ccd757193b2b555944f3cb81]
  [20220624, windows, 1210.14.1.2, main, 81039bf857c1a9ec7f0e091094689feab7e3f908]
  [20220624, ubuntu, 1210.14.1.2, main, 81039bf857c1a9ec7f0e091094689feab7e3f908]
  [20220624, windows, 1210.14.1.2, main, 980a6191b9a75ac6f268160c644abe485046333d]
  [20220624, ubuntu, 1210.14.1.2, main, 980a6191b9a75ac6f268160c644abe485046333d]
  [20220624, windows, 1210.14.1.2, main, ff7c29860198fe9b833b0d9991b6767bee53ea68]
  [20220624, ubuntu, 1210.14.1.2, main, ff7c29860198fe9b833b0d9991b6767bee53ea68]
